Word,length,FREQcount,Zipf-value,Cost,Rounded
a,1,1041179,7.309359959,2,7
aa,2,87,3.236316814,6,3
aaa,3,25,2.70680749,6,3
aah,3,2688,4.721424944,4,5
aahed,5,1,1.592864138,7,2
aahing,6,2,1.768955397,7,2
aahs,4,5,2.069985393,7,2
aal,3,1,1.592864138,7,2
aardvark,8,21,2.634256823,6,3
aargh,5,33,2.823313059,6,3
aaron,5,747,4.16573574,5,4
aarrgh,6,1,1.592864138,7,2
aarrghh,7,1,1.592864138,7,2
aas,3,2,1.768955397,7,2
ab,2,75,3.172647734,6,3
aba,3,4,1.990804146,7,2
abaca,5,1,1.592864138,7,2
aback,5,15,2.495954125,7,2
abacus,6,12,2.405777494,7,2
abacuses,8,1,1.592864138,7,2
abaddon,7,10,2.333226827,7,2
abaft,5,2,1.768955397,7,2
abalone,7,26,2.723197906,6,3
abalones,8,6,2.136932182,7,2
abandon,7,413,3.908834483,5,4
abandoned,9,678,4.123703916,5,4
abandoner,9,1,1.592864138,7,2
abandoning,10,86,3.231353395,6,3
abandonment,11,49,2.990804146,6,3
abandons,8,14,2.467925401,7,2
abase,5,3,1.893894133,7,2
abastard,8,1,1.592864138,7,2
abate,5,5,2.069985393,7,2
abated,6,4,1.990804146,7,2
abatement,9,3,1.893894133,7,2
abates,6,2,1.768955397,7,2
abating,7,1,1.592864138,7,2
abattoir,8,7,2.194924129,7,2
abay,4,3,1.893894133,7,2
abb,3,3,1.893894133,7,2
abba,4,9,2.291834142,7,2
abbas,5,5,2.069985393,7,2
abbe,4,2,1.768955397,7,2
abbess,6,2,1.768955397,7,2
abbesses,8,1,1.592864138,7,2
abbey,5,162,3.504021747,5,4
abbot,5,43,2.935286819,6,3
abbott,6,401,3.896060195,5,4
abbreviate,10,1,1.592864138,7,2
abbreviated,11,16,2.522283064,6,3
abbreviation,12,12,2.405777494,7,2
abbreviations,13,10,2.333226827,7,2
abby,4,637,4.096654821,5,4
abc,3,124,3.388744155,6,3
abd,3,1,1.592864138,7,2
abdicate,8,9,2.291834142,7,2
abdicated,9,7,2.194924129,7,2
abdicates,9,1,1.592864138,7,2
abdicating,10,3,1.893894133,7,2
abdication,10,6,2.136932182,7,2
abdomen,7,171,3.527362589,5,4
abdomens,8,3,1.893894133,7,2
abdominal,9,174,3.534872191,5,4
abdominals,10,7,2.194924129,7,2
abduct,6,36,2.860035866,6,3
abducted,8,255,3.700074107,5,4
abductee,8,20,2.614053437,6,3
abductees,9,18,2.570587743,6,3
abducting,9,16,2.522283064,6,3
abduction,9,185,3.561347086,5,4
abductions,10,42,2.925302598,6,3
abductor,8,18,2.570587743,6,3
abductors,9,11,2.371015388,7,2
abducts,7,8,2.246076652,7,2
abeam,5,7,2.194924129,7,2
abed,4,10,2.333226827,7,2
abel,4,68,3.130683233,6,3
abele,5,1,1.592864138,7,2
abend,5,9,2.291834142,7,2
aberdeen,8,17,2.547106647,6,3
abernethy,9,1,1.592864138,7,2
aberrant,8,15,2.495954125,7,2
aberration,10,28,2.75423214,6,3
aberrations,11,8,2.246076652,7,2
abet,4,5,2.069985393,7,2
abetted,7,8,2.246076652,7,2
abetting,8,26,2.723197906,6,3
abettor,7,1,1.592864138,7,2
abeyance,8,2,1.768955397,7,2
abhor,5,12,2.405777494,7,2
abhorred,8,7,2.194924129,7,2
abhorrent,9,9,2.291834142,7,2
abhors,6,4,1.990804146,7,2
abide,5,138,3.434848942,6,3
abided,6,3,1.893894133,7,2
abiders,7,1,1.592864138,7,2
abides,6,4,1.990804146,7,2
abiding,7,25,2.70680749,6,3
abigail,7,154,3.48216584,6,3
abilene,7,68,3.130683233,6,3
abilities,9,312,3.78737848,5,4
ability,7,980,4.28350315,5,4
abiogenist,10,3,1.893894133,7,2
abit,4,1,1.592864138,7,2
abject,6,20,2.614053437,6,3
abjectly,8,3,1.893894133,7,2
abjure,6,1,1.592864138,7,2
ablate,6,1,1.592864138,7,2
ablated,7,1,1.592864138,7,2
ablation,8,1,1.592864138,7,2
ablaze,6,21,2.634256823,6,3
able,4,8155,5.203311359,4,5
abler,5,1,1.592864138,7,2
ablest,6,2,1.768955397,7,2
abloom,6,3,1.893894133,7,2
ablution,8,3,1.893894133,7,2
ablutions,9,4,1.990804146,7,2
ably,4,9,2.291834142,7,2
abner,5,172,3.529880245,5,4
abnormal,8,148,3.465020411,6,3
abnormalities,13,25,2.70680749,6,3
abnormality,11,26,2.723197906,6,3
abnormally,10,20,2.614053437,6,3
abnormity,9,1,1.592864138,7,2
abo,3,6,2.136932182,7,2
aboard,6,1358,4.425053599,5,4
abode,5,33,2.823313059,6,3
abogado,7,2,1.768955397,7,2
abolish,7,24,2.689774151,6,3
abolished,9,20,2.614053437,6,3
abolishes,9,1,1.592864138,7,2
abolishing,10,2,1.768955397,7,2
abolition,9,10,2.333226827,7,2
abolitionism,12,1,1.592864138,7,2
abolitionist,12,11,2.371015388,7,2
abolitionists,13,13,2.437962178,7,2
abomasum,8,1,1.592864138,7,2
abominable,10,32,2.810348082,6,3
abominably,10,8,2.246076652,7,2
abominate,9,3,1.893894133,7,2
abomination,11,58,3.062686154,6,3
abominations,12,7,2.194924129,7,2
aboriginal,10,9,2.291834142,7,2
aboriginally,12,1,1.592864138,7,2
aboriginals,11,1,1.592864138,7,2
aborigine,9,4,1.990804146,7,2
aborigines,10,9,2.291834142,7,2
aborning,8,1,1.592864138,7,2
abort,5,235,3.664746145,5,4
aborted,7,32,2.810348082,6,3
aborting,8,13,2.437962178,7,2
abortion,8,369,3.860035866,5,4
abortionist,11,4,1.990804146,7,2
abortionists,12,1,1.592864138,7,2
abortions,9,35,2.848136643,6,3
abortive,8,1,1.592864138,7,2
abortively,10,1,1.592864138,7,2
aborts,6,1,1.592864138,7,2
abound,6,18,2.570587743,6,3
abounded,8,3,1.893894133,7,2
abounding,9,4,1.990804146,7,2
abounds,7,10,2.333226827,7,2
about,5,185206,6.559491539,2,7
abouts,6,8,2.246076652,7,2
above,5,2493,4.688730591,4,5
aboveboard,10,14,2.467925401,7,2
aboveground,11,7,2.194924129,7,2
abovementioned,14,1,1.592864138,7,2
abracadabra,11,53,3.024227902,6,3
abrade,6,1,1.592864138,7,2
abraded,7,5,2.069985393,7,2
abraham,7,264,3.715080016,5,4
abraid,6,1,1.592864138,7,2
abrasion,8,18,2.570587743,6,3
abrasions,9,56,3.047708998,6,3
abrasive,8,23,2.672045384,6,3
abrasiveness,12,2,1.768955397,7,2
abrasives,9,4,1.990804146,7,2
abraxas,7,29,2.768955397,6,3
abreaction,10,1,1.592864138,7,2
abreast,7,26,2.723197906,6,3
abridge,7,1,1.592864138,7,2
abridged,8,9,2.291834142,7,2
abridgement,11,1,1.592864138,7,2
abridging,9,2,1.768955397,7,2
abroad,6,250,3.691507864,5,4
abrogate,8,1,1.592864138,7,2
abrogated,9,2,1.768955397,7,2
abrogating,10,1,1.592864138,7,2
abrupt,6,58,3.062686154,6,3
abruption,9,6,2.136932182,7,2
abruptly,8,45,2.954591974,6,3
abruptness,10,4,1.990804146,7,2
abs,3,54,3.032196832,6,3
abscam,6,3,1.893894133,7,2
abscess,7,25,2.70680749,6,3
abscessed,9,3,1.893894133,7,2
abscesses,9,7,2.194924129,7,2
abscond,7,5,2.069985393,7,2
absconded,9,5,2.069985393,7,2
absconder,9,1,1.592864138,7,2
absconders,10,2,1.768955397,7,2
absconding,10,3,1.893894133,7,2
abseiling,9,1,1.592864138,7,2
absence,7,322,3.801036664,5,4
absences,8,14,2.467925401,7,2
absent,6,131,3.412408073,6,3
absentee,8,18,2.570587743,6,3
